f,mag
1730.8984375,47.43
1731.392578125,81.1
1731.88671875,352.61
1732.380859375,456.11
1732.875,247.75
1733.369140625,205.06
1733.86328125,261.58
1734.357421875,390.35
1734.8515625,253.65
1735.345703125,327.26
1735.83984375,186.96
1736.333984375,190.42
1736.828125,207.68
1737.322265625,735.13
1737.81640625,392.4
1738.310546875,275.35
1738.8046875,251.32
1739.298828125,235.81
1739.79296875,264.6
1740.287109375,220.29
1740.78125,363.87
1741.275390625,169.28
1741.76953125,344.54
1742.263671875,437.68
1742.7578125,490.05
1743.251953125,376.61
1743.74609375,172.86
1744.240234375,116.79
1744.734375,398.73
1745.228515625,275.64
1745.72265625,274.13
1746.216796875,443.95
1746.7109375,340.31
1747.205078125,349.16
1747.69921875,365.46
1748.193359375,229.22
1748.6875,134.95
1749.181640625,481.52
1749.67578125,318.52
1750.169921875,229.18
1750.6640625,303.0
